image_name;width;height;file_size_kb;contrast;otsu_threshold;black_pixels;white_pixels
Viral Pneumonia-1.png;299;299;37,66;59,76;98,0;26289;63112
Viral Pneumonia-10.png;299;299;37,4;49,11;118,0;30405;58996
Viral Pneumonia-100.png;299;299;36,22;66,67;93,0;25228;64173
Viral Pneumonia-1000.png;299;299;39,24;64,15;97,0;25645;63756
Viral Pneumonia-1001.png;299;299;38,27;46,45;132,0;15422;73979
Viral Pneumonia-1002.png;299;299;42,67;63,29;101,0;33228;56173
Viral Pneumonia-1003.png;299;299;42,71;57,31;109,0;33346;56055
Viral Pneumonia-1004.png;299;299;55,63;39,65;100,0;21763;67638
Viral Pneumonia-1005.png;299;299;55,09;57,41;124,0;36191;53210
Viral Pneumonia-1006.png;299;299;32,47;57,33;94,0;29012;60389
Viral Pneumonia-1007.png;299;299;35,4;37,5;122,0;8697;80704
Viral Pneumonia-1008.png;299;299;37,75;53,32;121,0;39124;50277
Viral Pneumonia-1009.png;299;299;35,4;72,85;98,0;33061;56340
Viral Pneumonia-101.png;299;299;40,22;62,62;107,0;28597;60804
Viral Pneumonia-1010.png;299;299;35,53;60,64;111,0;13326;76075
Viral Pneumonia-1011.png;299;299;37,56;60,24;121,0;25372;64029
Viral Pneumonia-1012.png;299;299;36,15;61,93;81,0;36695;52706
Viral Pneumonia-1013.png;299;299;39,38;74,0;116,0;33843;55558
Viral Pneumonia-1014.png;299;299;39,25;50,41;131,0;25346;64055
Viral Pneumonia-1015.png;299;299;38,51;51,03;97,0;48442;40959
Viral Pneumonia-1016.png;299;299;40,28;66,84;111,0;32937;56464
Viral Pneumonia-1017.png;299;299;64,13;53,95;109,0;18016;71385
Viral Pneumonia-1018.png;299;299;39,61;61,07;116,0;34431;54970
Viral Pneumonia-1019.png;299;299;36,02;69,59;93,0;30841;58560
Viral Pneumonia-102.png;299;299;36,71;69,63;95,0;28259;61142
Viral Pneumonia-1020.png;299;299;34,95;76,39;95,0;33498;55903
Viral Pneumonia-1021.png;299;299;39,92;62,31;100,0;39342;50059
Viral Pneumonia-1022.png;299;299;34,3;77,22;108,0;28488;60913
Viral Pneumonia-1023.png;299;299;42,89;65,85;124,0;33886;55515
Viral Pneumonia-1024.png;299;299;38,02;67,36;106,0;38021;51380
Viral Pneumonia-1025.png;299;299;38,71;74,57;121,0;30240;59161
Viral Pneumonia-1026.png;299;299;40,84;61,21;129,0;26523;62878
Viral Pneumonia-1027.png;299;299;42,51;66,99;138,0;31931;57470
Viral Pneumonia-1028.png;299;299;37,6;66,56;103,0;35930;53471
Viral Pneumonia-1029.png;299;299;37,44;74,65;110,0;30538;58863
Viral Pneumonia-103.png;299;299;36,18;75,6;101,0;22612;66789
Viral Pneumonia-1030.png;299;299;38,57;77,7;100,0;29197;60204
Viral Pneumonia-1031.png;299;299;37,24;73,03;106,0;23118;66283
Viral Pneumonia-1032.png;299;299;40,24;70,57;125,0;27756;61645
Viral Pneumonia-1033.png;299;299;37,28;65,09;100,0;25908;63493
Viral Pneumonia-1034.png;299;299;37,09;74,1;100,0;27619;61782
Viral Pneumonia-1035.png;299;299;40,95;60,18;118,0;17498;71903
Viral Pneumonia-1036.png;299;299;38,62;63,05;90,0;44192;45209
Viral Pneumonia-1037.png;299;299;33,79;68,4;90,0;22224;67177
Viral Pneumonia-1038.png;299;299;36,15;65,07;94,0;40571;48830
Viral Pneumonia-1039.png;299;299;39,12;71,41;114,0;27385;62016
Viral Pneumonia-104.png;299;299;36,62;65,63;87,0;26328;63073
Viral Pneumonia-1040.png;299;299;37,63;72,76;113,0;28615;60786
Viral Pneumonia-1041.png;299;299;39,6;64,43;110,0;26746;62655
Viral Pneumonia-1042.png;299;299;39,12;65,47;103,0;32079;57322
Viral Pneumonia-1043.png;299;299;40,19;70,08;108,0;22267;67134
Viral Pneumonia-1044.png;299;299;39,35;77,57;110,0;36672;52729
Viral Pneumonia-1045.png;299;299;37,33;70,57;104,0;38240;51161
Viral Pneumonia-1046.png;299;299;40,54;62,95;123,0;36681;52720
Viral Pneumonia-1047.png;299;299;32,85;78,28;94,0;29229;60172
Viral Pneumonia-1048.png;299;299;40,71;76,58;118,0;32405;56996
Viral Pneumonia-1049.png;299;299;39,21;70,65;107,0;27242;62159
Viral Pneumonia-105.png;299;299;37,08;69,65;118,0;20037;69364
Viral Pneumonia-1050.png;299;299;36,62;67,48;99,0;28758;60643
Viral Pneumonia-1051.png;299;299;34,53;49,67;118,0;9502;79899
Viral Pneumonia-1052.png;299;299;39,04;44,32;116,0;28064;61337
Viral Pneumonia-1053.png;299;299;39,04;44,32;116,0;28064;61337
Viral Pneumonia-1054.png;299;299;34,41;68,1;88,0;34034;55367
Viral Pneumonia-1055.png;299;299;37,54;66,39;100,0;27208;62193
Viral Pneumonia-1056.png;299;299;40,96;61,59;99,0;33922;55479
Viral Pneumonia-1057.png;299;299;38,03;66,67;100,0;28281;61120
Viral Pneumonia-1058.png;299;299;40,74;68,84;115,0;28701;60700
Viral Pneumonia-1059.png;299;299;40,56;71,2;103,0;29781;59620
Viral Pneumonia-106.png;299;299;33,55;74,1;101,0;24390;65011
Viral Pneumonia-1060.png;299;299;39,11;75,9;115,0;37162;52239
Viral Pneumonia-1061.png;299;299;39,73;59,52;130,0;33149;56252
Viral Pneumonia-1062.png;299;299;40,01;71,63;105,0;32621;56780
Viral Pneumonia-1063.png;299;299;41,41;64,7;120,0;30836;58565
Viral Pneumonia-1064.png;299;299;34,98;77,23;99,0;37501;51900
Viral Pneumonia-1065.png;299;299;40,7;55,68;96,0;34456;54945
Viral Pneumonia-1066.png;299;299;37,29;69,27;110,0;23351;66050
Viral Pneumonia-1067.png;299;299;40,74;77,61;117,0;36828;52573
Viral Pneumonia-1068.png;299;299;38,49;71,81;100,0;22906;66495
Viral Pneumonia-1069.png;299;299;37,74;74,42;102,0;25363;64038
Viral Pneumonia-107.png;299;299;34,48;71,58;98,0;27035;62366
Viral Pneumonia-1070.png;299;299;37,58;66,61;103,0;41792;47609
Viral Pneumonia-1071.png;299;299;40,04;63,03;124,0;30719;58682
Viral Pneumonia-1072.png;299;299;41,93;62,23;128,0;31070;58331
Viral Pneumonia-1073.png;299;299;35,38;83,25;109,0;37251;52150
Viral Pneumonia-1074.png;299;299;39,22;59,16;118,0;15816;73585
Viral Pneumonia-1075.png;299;299;41,2;61,09;124,0;21204;68197
Viral Pneumonia-1076.png;299;299;37,8;70,18;99,0;27850;61551
Viral Pneumonia-1077.png;299;299;39,32;74,88;107,0;29409;59992
Viral Pneumonia-1078.png;299;299;40,8;72,06;128,0;35337;54064
Viral Pneumonia-1079.png;299;299;37,07;66,68;110,0;18774;70627
Viral Pneumonia-108.png;299;299;36,26;63,34;98,0;19094;70307
Viral Pneumonia-1080.png;299;299;35,15;63,29;110,0;22693;66708
Viral Pneumonia-1081.png;299;299;39,99;74,29;111,0;20500;68901
Viral Pneumonia-1082.png;299;299;35,2;79,71;97,0;38644;50757
Viral Pneumonia-1083.png;299;299;37,07;72,28;101,0;30824;58577
Viral Pneumonia-1084.png;299;299;56,09;40,21;151,0;20835;68566
Viral Pneumonia-1085.png;299;299;40,69;71,74;114,0;32082;57319
Viral Pneumonia-1086.png;299;299;39,12;65,36;101,0;39043;50358
Viral Pneumonia-1087.png;299;299;44,03;58,51;129,0;32688;56713
Viral Pneumonia-1088.png;299;299;36,46;76,49;105,0;25918;63483
Viral Pneumonia-1089.png;299;299;39,96;73,82;109,0;27661;61740
Viral Pneumonia-109.png;299;299;37,68;64,22;101,0;18293;71108
Viral Pneumonia-1090.png;299;299;34,19;66,34;82,0;40227;49174
Viral Pneumonia-1091.png;299;299;36,53;71,76;104,0;31849;57552
Viral Pneumonia-1092.png;299;299;38,38;64,07;103,0;37359;52042
Viral Pneumonia-1093.png;299;299;37,32;69,46;96,0;32670;56731
Viral Pneumonia-1094.png;299;299;39,0;73,73;115,0;29995;59406
Viral Pneumonia-1095.png;299;299;42,12;60,18;104,0;29896;59505
Viral Pneumonia-1096.png;299;299;39,39;73,29;113,0;29400;60001
Viral Pneumonia-1097.png;299;299;41,03;70,22;114,0;31875;57526
Viral Pneumonia-1098.png;299;299;36,46;53,71;109,0;20217;69184
Viral Pneumonia-1099.png;299;299;35,57;53,73;111,0;15028;74373
Viral Pneumonia-11.png;299;299;40,74;56,16;107,0;47098;42303
Viral Pneumonia-110.png;299;299;37,54;65,67;108,0;26189;63212
Viral Pneumonia-1100.png;299;299;35,89;61,44;112,0;31880;57521
Viral Pneumonia-1101.png;299;299;37,47;45,82;127,0;19870;69531
Viral Pneumonia-1102.png;299;299;40,31;64,23;105,0;30063;59338
Viral Pneumonia-1103.png;299;299;39,27;67,25;105,0;25408;63993
Viral Pneumonia-1104.png;299;299;40,15;64,15;117,0;35849;53552
Viral Pneumonia-1105.png;299;299;35,66;74,09;102,0;33000;56401
Viral Pneumonia-1106.png;299;299;33,74;77,78;93,0;29184;60217
Viral Pneumonia-1107.png;299;299;39,01;77,33;103,0;36054;53347
Viral Pneumonia-1108.png;299;299;35,48;69,55;101,0;29110;60291
Viral Pneumonia-1109.png;299;299;36,37;69,74;100,0;34164;55237
Viral Pneumonia-111.png;299;299;37,58;69,22;108,0;21048;68353
Viral Pneumonia-1110.png;299;299;41,04;63,18;117,0;28764;60637
Viral Pneumonia-1111.png;299;299;36,53;74,79;98,0;27162;62239
Viral Pneumonia-1112.png;299;299;36,1;74,88;90,0;28337;61064
Viral Pneumonia-1113.png;299;299;34,79;55,94;108,0;21548;67853
Viral Pneumonia-1114.png;299;299;43,19;58,57;97,0;23974;65427
Viral Pneumonia-1115.png;299;299;35,55;49,16;114,0;30184;59217
Viral Pneumonia-1116.png;299;299;37,43;57,86;82,0;40288;49113
Viral Pneumonia-1117.png;299;299;39,49;73,16;112,0;26310;63091
Viral Pneumonia-1118.png;299;299;40,18;66,13;114,0;17173;72228
Viral Pneumonia-1119.png;299;299;31,5;77,55;102,0;21251;68150
Viral Pneumonia-112.png;299;299;39,4;63,78;99,0;26579;62822
Viral Pneumonia-1120.png;299;299;39,24;71,93;111,0;25924;63477
Viral Pneumonia-1121.png;299;299;32,78;72,92;86,0;32569;56832
Viral Pneumonia-1122.png;299;299;37,82;64,3;102,0;37013;52388
Viral Pneumonia-1123.png;299;299;64,74;58,51;131,0;32638;56763
Viral Pneumonia-1124.png;299;299;35,34;67,24;86,0;33936;55465
Viral Pneumonia-1125.png;299;299;38,68;71,02;96,0;28247;61154
Viral Pneumonia-1126.png;299;299;40,36;63,56;117,0;28230;61171
Viral Pneumonia-1127.png;299;299;39,34;68,67;104,0;26872;62529
Viral Pneumonia-1128.png;299;299;35,38;68,12;89,0;33045;56356
Viral Pneumonia-1129.png;299;299;33,77;77,94;96,0;29485;59916
Viral Pneumonia-113.png;299;299;38,91;67,91;104,0;22363;67038
Viral Pneumonia-1130.png;299;299;38,8;65,35;114,0;20520;68881
Viral Pneumonia-1131.png;299;299;40,63;61,08;106,0;38200;51201
Viral Pneumonia-1132.png;299;299;40,16;72,83;103,0;30684;58717
Viral Pneumonia-1133.png;299;299;34,79;57,36;111,0;17330;72071
Viral Pneumonia-1134.png;299;299;35,58;52,3;121,0;24933;64468
Viral Pneumonia-1135.png;299;299;40,46;71,0;115,0;37335;52066
Viral Pneumonia-1136.png;299;299;39,81;62,95;115,0;30544;58857
Viral Pneumonia-1137.png;299;299;41,04;64,04;138,0;29526;59875
Viral Pneumonia-1138.png;299;299;41,99;56,1;137,0;29336;60065
Viral Pneumonia-1139.png;299;299;42,21;58,02;139,0;25815;63586
Viral Pneumonia-114.png;299;299;38,18;71,26;108,0;22015;67386
Viral Pneumonia-1140.png;299;299;42,16;65,81;116,0;25528;63873
Viral Pneumonia-1141.png;299;299;41,4;69,73;116,0;25391;64010
Viral Pneumonia-1142.png;299;299;40,77;66,58;105,0;21755;67646
Viral Pneumonia-1143.png;299;299;40,15;70,03;110,0;25703;63698
Viral Pneumonia-1144.png;299;299;36,2;78,08;99,0;31418;57983
Viral Pneumonia-1145.png;299;299;34,12;48,79;115,0;16109;73292
Viral Pneumonia-1146.png;299;299;41,22;70,68;124,0;23772;65629
Viral Pneumonia-1147.png;299;299;42,42;66,41;120,0;25569;63832
Viral Pneumonia-1148.png;299;299;41,11;63,02;121,0;23267;66134
Viral Pneumonia-1149.png;299;299;33,25;71,4;87,0;32242;57159
Viral Pneumonia-115.png;299;299;37,34;73,77;105,0;26385;63016
Viral Pneumonia-1150.png;299;299;35,85;74,81;102,0;34815;54586
Viral Pneumonia-1151.png;299;299;42,06;52,81;134,0;19684;69717
Viral Pneumonia-1152.png;299;299;43,61;50,88;145,0;24536;64865
Viral Pneumonia-1153.png;299;299;38,88;69,77;124,0;34762;54639
Viral Pneumonia-1154.png;299;299;53,83;47,78;94,0;12593;76808
Viral Pneumonia-1155.png;299;299;58,8;61,36;91,0;15940;73461
Viral Pneumonia-1156.png;299;299;37,1;55,01;119,0;20723;68678
Viral Pneumonia-1157.png;299;299;35,66;66,91;92,0;32442;56959
Viral Pneumonia-1158.png;299;299;35,1;69,55;98,0;46568;42833
Viral Pneumonia-1159.png;299;299;37,05;66,96;104,0;19025;70376
Viral Pneumonia-116.png;299;299;31,83;87,32;103,0;24568;64833
Viral Pneumonia-1160.png;299;299;36,32;58,57;100,0;26302;63099
Viral Pneumonia-1161.png;299;299;29,86;75,54;81,0;42395;47006
Viral Pneumonia-1162.png;299;299;39,56;62,47;110,0;27100;62301
Viral Pneumonia-1163.png;299;299;34,57;76,77;98,0;26745;62656
Viral Pneumonia-1164.png;299;299;34,44;75,81;108,0;24804;64597
Viral Pneumonia-1165.png;299;299;33,9;68,62;90,0;25539;63862
Viral Pneumonia-1166.png;299;299;37,5;68,97;93,0;27711;61690
Viral Pneumonia-1167.png;299;299;35,33;54,09;73,0;39780;49621
Viral Pneumonia-1168.png;299;299;32,3;71,95;86,0;32452;56949
Viral Pneumonia-1169.png;299;299;36,57;63,52;99,0;27062;62339
Viral Pneumonia-117.png;299;299;38,46;60,21;113,0;29965;59436
Viral Pneumonia-1170.png;299;299;39,09;64,34;109,0;24578;64823
Viral Pneumonia-1171.png;299;299;38,92;42,25;84,0;46374;43027
Viral Pneumonia-1172.png;299;299;32,67;69,02;84,0;38568;50833
Viral Pneumonia-1173.png;299;299;37,49;55,86;96,0;22891;66510
Viral Pneumonia-1174.png;299;299;31,23;72,3;87,0;27950;61451
Viral Pneumonia-1175.png;299;299;34,32;66,93;92,0;24737;64664
Viral Pneumonia-1176.png;299;299;34,97;70,17;87,0;30386;59015
Viral Pneumonia-1177.png;299;299;34,47;74,57;91,0;29624;59777
Viral Pneumonia-1178.png;299;299;36,58;66,35;106,0;29494;59907
Viral Pneumonia-1179.png;299;299;34,99;65,84;121,0;21358;68043
Viral Pneumonia-118.png;299;299;38,46;60,21;113,0;29965;59436
Viral Pneumonia-1180.png;299;299;40,27;48,89;122,0;31126;58275
Viral Pneumonia-1181.png;299;299;37,86;67,43;105,0;28564;60837
Viral Pneumonia-1182.png;299;299;38,65;42,16;81,0;49375;40026
Viral Pneumonia-1183.png;299;299;35,18;62,45;99,0;20882;68519
Viral Pneumonia-1184.png;299;299;33,77;68,68;100,0;23472;65929
Viral Pneumonia-1185.png;299;299;38,46;59,39;107,0;28604;60797
Viral Pneumonia-1186.png;299;299;36,99;67,23;98,0;28169;61232
Viral Pneumonia-1187.png;299;299;37,92;57,45;126,0;20935;68466
Viral Pneumonia-1188.png;299;299;36,64;60,82;95,0;23161;66240
Viral Pneumonia-1189.png;299;299;34,03;63,82;83,0;26848;62553
Viral Pneumonia-119.png;299;299;34,25;61,35;81,0;42811;46590
Viral Pneumonia-1190.png;299;299;36,15;65,58;99,0;25547;63854
Viral Pneumonia-1191.png;299;299;35,95;58,8;85,0;25587;63814
Viral Pneumonia-1192.png;299;299;37,84;53,9;83,0;35945;53456
Viral Pneumonia-1193.png;299;299;35,8;71,56;111,0;24340;65061
Viral Pneumonia-1194.png;299;299;36,41;70,13;95,0;26620;62781
Viral Pneumonia-1195.png;299;299;37,47;62,93;129,0;23174;66227
Viral Pneumonia-1196.png;299;299;37,48;67,58;113,0;23361;66040
Viral Pneumonia-1197.png;299;299;29,29;68,07;75,0;38817;50584
Viral Pneumonia-1198.png;299;299;32,77;66,29;81,0;24999;64402
Viral Pneumonia-1199.png;299;299;37,1;61,33;103,0;23133;66268
Viral Pneumonia-12.png;299;299;37,66;26,53;72,0;60243;29158
Viral Pneumonia-120.png;299;299;38,02;61,21;103,0;23495;65906
Viral Pneumonia-1200.png;299;299;42,44;57,31;132,0;25702;63699
Viral Pneumonia-1201.png;299;299;42,09;59,48;146,0;27827;61574
Viral Pneumonia-1202.png;299;299;37,79;61,8;89,0;28446;60955
Viral Pneumonia-1203.png;299;299;35,3;44,33;113,0;31174;58227
Viral Pneumonia-1204.png;299;299;37,31;56,8;86,0;31728;57673
Viral Pneumonia-1205.png;299;299;37,69;53,2;110,0;36593;52808
Viral Pneumonia-1206.png;299;299;40,91;45,81;97,0;52221;37180
Viral Pneumonia-1207.png;299;299;36,58;59,49;101,0;29071;60330
Viral Pneumonia-1208.png;299;299;38,39;48,96;102,0;39205;50196
Viral Pneumonia-1209.png;299;299;36,35;53,84;108,0;31300;58101
Viral Pneumonia-121.png;299;299;39,15;49,63;117,0;22947;66454
Viral Pneumonia-1210.png;299;299;37,91;55,99;119,0;22214;67187
Viral Pneumonia-1211.png;299;299;34,18;48,92;105,0;28436;60965
Viral Pneumonia-1212.png;299;299;37,28;53,58;117,0;31042;58359
Viral Pneumonia-1213.png;299;299;33,13;48,5;95,0;31860;57541
Viral Pneumonia-1214.png;299;299;33,54;51,01;95,0;40960;48441
Viral Pneumonia-1215.png;299;299;35,68;46,82;93,0;33222;56179
Viral Pneumonia-1216.png;299;299;38,87;66,26;99,0;37654;51747
Viral Pneumonia-1217.png;299;299;37,44;52,26;103,0;45194;44207
Viral Pneumonia-1218.png;299;299;38,67;51,91;113,0;42234;47167
Viral Pneumonia-1219.png;299;299;35,8;57,1;109,0;31029;58372
Viral Pneumonia-122.png;299;299;38,41;63,56;107,0;29275;60126
Viral Pneumonia-1220.png;299;299;38,45;45,28;114,0;45363;44038
Viral Pneumonia-1221.png;299;299;39,23;60,63;96,0;32804;56597
Viral Pneumonia-1222.png;299;299;36,88;55,58;115,0;29158;60243
Viral Pneumonia-1223.png;299;299;39,92;51,67;111,0;48335;41066
Viral Pneumonia-1224.png;299;299;43,37;61,31;101,0;46949;42452
Viral Pneumonia-1225.png;299;299;44,77;60,45;98,0;45028;44373
Viral Pneumonia-1226.png;299;299;34,52;53,54;114,0;31851;57550
Viral Pneumonia-1227.png;299;299;39,77;57,03;106,0;40024;49377
Viral Pneumonia-1228.png;299;299;38,07;47,38;114,0;44587;44814
Viral Pneumonia-1229.png;299;299;36,64;59,72;107,0;34319;55082
Viral Pneumonia-123.png;299;299;38,57;66,07;106,0;25060;64341
Viral Pneumonia-1230.png;299;299;39,04;55,89;104,0;35838;53563
Viral Pneumonia-1231.png;299;299;35,39;58,51;111,0;31163;58238
Viral Pneumonia-1232.png;299;299;36,7;60,02;103,0;41727;47674
Viral Pneumonia-1233.png;299;299;40,76;63,56;124,0;40133;49268
Viral Pneumonia-1234.png;299;299;36,61;56,49;103,0;30030;59371
Viral Pneumonia-1235.png;299;299;38,32;45,9;84,0;29566;59835
Viral Pneumonia-1236.png;299;299;42,53;61,78;119,0;36843;52558
Viral Pneumonia-1237.png;299;299;42,43;58,02;100,0;37490;51911
Viral Pneumonia-1238.png;299;299;38,51;42,72;137,0;28323;61078
Viral Pneumonia-1239.png;299;299;36,82;41,41;87,0;44968;44433
Viral Pneumonia-124.png;299;299;36,31;58,78;92,0;25753;63648
Viral Pneumonia-1240.png;299;299;36,29;46,76;107,0;67236;22165
Viral Pneumonia-1241.png;299;299;34,02;50,97;126,0;44047;45354
Viral Pneumonia-1242.png;299;299;38,79;45,18;97,0;39197;50204
Viral Pneumonia-1243.png;299;299;36,04;49,42;124,0;28506;60895
Viral Pneumonia-1244.png;299;299;41,32;53,86;113,0;32474;56927
Viral Pneumonia-1245.png;299;299;36,5;48,8;78,0;24039;65362
Viral Pneumonia-1246.png;299;299;42,4;66,25;114,0;42763;46638
Viral Pneumonia-1247.png;299;299;40,07;58,22;109,0;30429;58972
Viral Pneumonia-1248.png;299;299;42,35;58,84;116,0;36772;52629
Viral Pneumonia-1249.png;299;299;37,39;41,35;114,0;41192;48209
Viral Pneumonia-125.png;299;299;35,49;65,23;106,0;28248;61153
Viral Pneumonia-1250.png;299;299;35,17;44,84;100,0;37978;51423
Viral Pneumonia-1251.png;299;299;34,6;47,22;103,0;31856;57545
Viral Pneumonia-1252.png;299;299;36,35;43,48;116,0;32549;56852
Viral Pneumonia-1253.png;299;299;38,12;40,8;107,0;39278;50123
Viral Pneumonia-1254.png;299;299;42,33;59,33;104,0;32729;56672
Viral Pneumonia-1255.png;299;299;38,29;44,54;116,0;39207;50194
Viral Pneumonia-1256.png;299;299;39,16;46,35;108,0;39705;49696
Viral Pneumonia-1257.png;299;299;37,0;49,47;108,0;33361;56040
Viral Pneumonia-1258.png;299;299;36,52;49,52;110,0;40627;48774
Viral Pneumonia-1259.png;299;299;37,63;35,2;88,0;61674;27727
Viral Pneumonia-126.png;299;299;34,59;37,25;125,0;39301;50100
Viral Pneumonia-1260.png;299;299;37,84;50,3;125,0;33140;56261
Viral Pneumonia-1261.png;299;299;38,67;50,19;125,0;32705;56696
Viral Pneumonia-1262.png;299;299;40,56;54,21;115,0;30603;58798
Viral Pneumonia-1263.png;299;299;39,51;55,85;102,0;32626;56775
Viral Pneumonia-1264.png;299;299;41,57;52,79;106,0;30817;58584
Viral Pneumonia-1265.png;299;299;37,14;41,86;105,0;49046;40355
Viral Pneumonia-1266.png;299;299;36,95;40,2;136,0;20523;68878
Viral Pneumonia-1267.png;299;299;38,86;56,93;117,0;26452;62949
Viral Pneumonia-1268.png;299;299;34,31;55,01;111,0;17995;71406
Viral Pneumonia-1269.png;299;299;35,65;48,13;98,0;30336;59065
Viral Pneumonia-127.png;299;299;37,08;54,12;100,0;27042;62359
Viral Pneumonia-1270.png;299;299;36,45;35,02;131,0;37982;51419
Viral Pneumonia-1271.png;299;299;40,84;57,21;101,0;36027;53374
Viral Pneumonia-1272.png;299;299;41,46;46,27;134,0;28695;60706
Viral Pneumonia-1273.png;299;299;37,65;76,5;119,0;25629;63772
Viral Pneumonia-1274.png;299;299;39,07;66,17;108,0;35242;54159
Viral Pneumonia-1275.png;299;299;39,29;71,45;104,0;23284;66117
Viral Pneumonia-1276.png;299;299;39,73;57,49;114,0;24494;64907
Viral Pneumonia-1277.png;299;299;38,07;61,46;118,0;31425;57976
Viral Pneumonia-1278.png;299;299;40,05;70,42;121,0;24857;64544
Viral Pneumonia-1279.png;299;299;39,28;61,32;113,0;25496;63905
Viral Pneumonia-128.png;299;299;36,77;63,91;114,0;25927;63474
Viral Pneumonia-1280.png;299;299;38,37;80,66;106,0;31842;57559
Viral Pneumonia-1281.png;299;299;36,71;28,02;162,0;9150;80251
Viral Pneumonia-1282.png;299;299;38,12;66,94;108,0;30232;59169
Viral Pneumonia-1283.png;299;299;38,46;72,61;109,0;31981;57420
Viral Pneumonia-1284.png;299;299;39,75;68,85;131,0;32310;57091
Viral Pneumonia-1285.png;299;299;37,5;72,51;105,0;26064;63337
Viral Pneumonia-1286.png;299;299;41,92;57,29;122,0;37369;52032
Viral Pneumonia-1287.png;299;299;38,88;71,65;109,0;23297;66104
Viral Pneumonia-1288.png;299;299;39,62;71,83;119,0;32240;57161
Viral Pneumonia-1289.png;299;299;34,92;77,24;107,0;31792;57609
Viral Pneumonia-129.png;299;299;37,3;63,32;91,0;29030;60371
Viral Pneumonia-1290.png;299;299;37,19;75,83;101,0;33133;56268
Viral Pneumonia-1291.png;299;299;37,65;76,22;111,0;23696;65705
Viral Pneumonia-1292.png;299;299;40,5;42,04;109,0;41595;47806
Viral Pneumonia-1293.png;299;299;39,02;69,6;109,0;33033;56368
Viral Pneumonia-1294.png;299;299;37,16;71,57;110,0;28481;60920
Viral Pneumonia-1295.png;299;299;38,5;62,93;99,0;34528;54873
Viral Pneumonia-1296.png;299;299;36,28;63,59;102,0;18604;70797
